repneed,repseats,demneed,demseats
40,88,40,86
40.003784,88,40.430626,86
40.003784,89,40.430626,87
40.205494,89,41.164845,87
40.205494,90,41.164845,88
40.291924,90,41.350876,88
40.291924,91,41.350876,89
40.378338,91,41.546276,89
40.378338,92,41.546276,90
40.512737,92,42.198097,90
40.512737,93,42.198097,91
40.512737,93,43.102581,91
40.512737,94,43.102581,92
40.618313,94,43.578716,92
40.618313,95,43.578716,93
41.088387,95,43.812263,93
41.088387,96,43.812263,94
41.653904,96,44.784851,94
41.653904,97,44.784851,95
41.682644,97,44.841011,95
41.682644,98,44.841011,96
41.950825,98,44.887817,96
41.950825,99,44.887817,97
45.940006,99,44.953354,97
45.940006,100,44.953354,98
45.99707,100,44.962715,98
45.99707,101,44.962715,99
46.0256,101,45.018894,99
46.0256,102,45.018894,100
46.044621,102,45.093807,100
46.044621,103,45.093807,101
46.092167,103,45.140636,101
46.092167,104,45.140636,102
46.168232,104,45.187466,102
46.168232,105,45.187466,103
46.215767,105,45.196831,103
46.215767,106,45.196831,104
46.310829,106,45.224934,104
46.310829,107,45.224934,105
46.310829,107,45.224934,105
46.310829,108,45.224934,106
46.310829,108,45.243668,106
46.310829,109,45.243668,107
46.377361,109,45.27177,107
46.377361,110,45.27177,108
46.377361,110,45.318611,108
46.377361,111,45.318611,109
46.415379,111,45.32798,109
46.415379,112,45.32798,110
46.424881,112,45.515385,110
46.424881,113,45.515385,111
46.462894,113,45.543499,111
46.462894,114,45.543499,112
46.472397,114,45.609112,112
46.472397,115,45.609112,113
46.472397,115,45.63723,113
46.472397,116,45.63723,114
46.481899,116,45.693478,114
46.481899,117,45.693478,115
46.481899,117,45.730976,115
46.481899,118,45.730976,116
46.500904,118,45.740353,116
46.500904,119,45.740353,117
46.557915,119,45.918514,117
46.557915,120,45.918514,118
46.576916,120,45.984169,118
46.576916,121,45.984169,119
46.576916,121,45.993549,119
46.576916,122,45.993549,120
46.586418,122,46.00293,120
46.586418,123,46.00293,121
46.586418,123,46.00293,121
46.586418,124,46.00293,122
46.690918,124,46.040447,122
46.690918,125,46.040447,123
46.700417,125,46.115498,123
