repneed,repseats,demneed,demseats
40,120,40,115
40.0051,120,40.093735,115
40.0051,121,40.093735,116
40.062748,121,40.427986,116
40.062748,122,40.427986,117
40.206848,122,40.493004,117
40.206848,123,40.493004,118
40.293289,123,40.86467,118
40.293289,124,40.86467,119
40.331703,124,40.939034,119
40.331703,125,40.939034,120
40.494938,125,40.994812,120
40.494938,126,40.994812,121
40.514141,126,41.032001,121
40.514141,127,41.032001,122
40.619736,127,41.041298,122
40.619736,128,41.041298,123
40.715714,128,41.050598,123
40.715714,129,41.050598,124
40.917217,129,41.078491,124
40.917217,130,41.078491,125
40.945999,130,41.143585,125
40.945999,131,41.143585,126
41.003555,131,41.338905,126
41.003555,132,41.338905,127
41.041924,132,41.348209,127
41.041924,133,41.348209,128
41.367958,133,41.366814,128
41.367958,134,41.366814,129
41.406303,134,41.385422,129
41.406303,135,41.385422,130
41.645905,135,41.422638,130
41.645905,136,41.422638,131
41.684231,136,41.645977,131
41.684231,137,41.645977,132
41.741718,137,41.739067,132
41.741718,138,41.739067,133
41.799198,138,41.962536,133
41.799198,139,41.962536,134
42.239697,139,41.971848,134
42.239697,140,41.971848,135
42.469391,140,42.148827,135
42.469391,141,42.148827,136
42.565071,141,42.214043,136
42.565071,142,42.214043,137
42.765945,142,42.241997,137
42.765945,143,42.241997,138
43.196167,143,42.288586,138
43.196167,144,42.288586,139
43.253506,144,42.493633,139
43.253506,145,42.493633,140
43.368168,145,42.502953,140
43.368168,146,42.502953,141
43.444595,146,42.502953,141
43.444595,147,42.502953,142
43.482807,147,42.521599,142
43.482807,148,42.521599,143
43.521015,148,42.74538,143
43.521015,149,42.74538,144
43.616524,149,42.74538,144
43.616524,150,42.74538,145
43.664272,150,42.764034,145
43.664272,151,42.764034,146
43.998405,151,42.819996,146
43.998405,152,42.819996,147
44.036583,152,42.931934,147
44.036583,153,42.931934,148
44.112923,153,43.099884,148
44.112923,154,43.099884,149
44.112923,154,43.370579,149
44.112923,155,43.370579,150
44.160629,155,43.426598,150
44.160629,156,43.426598,151
44.179714,156,43.576019,151
44.179714,157,43.576019,152
44.256035,157,43.809563,152
44.256035,158,43.809563,153
44.275116,158,43.903011,153
44.275116,159,43.903011,154
44.313271,159,43.931046,154
44.313271,160,43.931046,155
44.41819,160,44.033859,155
44.41819,161,44.033859,156
44.627968,161,44.043209,156
44.627968,162,44.043209,157
44.761425,162,44.043209,157
44.761425,163,44.043209,158
44.799549,163,44.146042,158
44.799549,164,44.146042,159
45.018723,164,44.164742,159
45.018723,165,44.164742,160
45.047302,165,44.183441,160
45.047302,166,44.183441,161
45.247334,166,44.248894,161
45.247334,167,44.248894,162
45.285427,167,44.276947,162
45.285427,168,44.276947,163
45.30447,168,44.286301,163
45.30447,169,44.286301,164
45.371128,169,44.417236,164
45.371128,170,44.417236,165
45.447296,170,44.464008,165
45.447296,171,44.464008,166
45.485374,171,44.482719,166
45.485374,172,44.482719,167
45.571045,172,44.482719,167
45.571045,173,44.482719,168
45.713806,173,44.520142,168
45.713806,174,44.520142,169
45.713806,174,44.548206,169
45.713806,175,44.548206,170
45.72332,175,44.59499,170
45.72332,176,44.59499,171
45.770897,176,44.641773,171
45.770897,177,44.641773,172
45.789928,177,44.660492,172
45.789928,178,44.660492,173
45.847015,178,44.669849,173
45.847015,179,44.669849,174
46.018238,179,44.735359,174
46.018238,180,44.735359,175
46.065792,180,44.782158,175
46.065792,181,44.782158,176
46.293995,181,45.27845,176
46.293995,182,45.27845,177
46.436577,182,45.484585,177
46.436577,183,45.484585,178
46.702633,183,45.512703,178
46.702633,184,45.512703,179
46.864109,184,45.522072,179
46.864109,185,45.522072,180
47.044529,185,46.000256,180
47.044529,186,46.000256,181
47.063519,186,46.094063,181
47.063519,187,46.094063,182
47.34827,187,46.187885,182
47.34827,188,46.187885,183
47.405205,188,46.553947,183
47.405205,189,46.553947,184
47.481106,189,46.751156,184
47.481106,190,46.751156,185
47.803581,190,47.023602,185
47.803581,191,47.023602,186
47.879433,191,47.079987,186
47.879433,192,47.079987,187
48.23011,192,47.258575,187
48.23011,193,47.258575,188
48.438522,193,47.30558,188
48.438522,194,47.30558,189
48.542698,194,47.390202,189
48.542698,195,47.390202,190
48.542698,195,47.503048,190
48.542698,196,47.503048,191
48.599514,196,47.531265,191
48.599514,197,47.531265,192
48.618454,197,47.68177,192
48.618454,198,47.68177,193
48.87405,198,47.73822,193
48.87405,199,47.73822,194
48.911907,199,47.73822,194
48.911907,200,47.73822,195
49.03492,200,47.775856,195
49.03492,201,47.775856,196
49.072765,201,47.89819,196
49.072765,202,47.89819,197
49.101151,202,47.935837,197
49.101151,203,47.935837,198
49.101151,203,47.973488,198
49.101151,204,47.973488,199
49.148453,204,48.086449,199
49.148453,205,48.086449,200
49.299789,205,48.255936,200
49.299789,206,48.255936,201
49.347076,206,48.463154,201
49.347076,207,48.463154,202
49.914196,207,48.500835,202
49.914196,208,48.500835,203
49.942535,208,48.745842,203
49.942535,209,48.745842,204
50.15033,209,48.811825,204
50.15033,210,48.811825,205
50.263641,210,48.849533,205
50.263641,211,48.849533,206
50.301407,211,48.93438,206
50.301407,212,48.93438,207
50.32029,212,48.990955,207
50.32029,213,48.990955,208
50.424126,213,49.000385,208
50.424126,214,49.000385,209
50.424126,214,49.122982,209
50.424126,215,49.122982,210
50.471321,215,49.151276,210
50.471321,216,49.151276,211
50.527946,216,49.189007,211
50.527946,217,49.189007,212
50.556259,217,49.236172,212
50.556259,218,49.236172,213
50.565693,218,49.245605,213
50.565693,219,49.245605,214
50.735527,219,49.255039,214
50.735527,220,49.255039,215
50.744961,220,49.264473,215
50.744961,221,49.264473,216
50.754395,221,49.434307,216
50.754395,222,49.434307,217
50.763828,222,49.443741,217
50.763828,223,49.443741,218
50.810993,223,49.472054,218
50.810993,224,49.472054,219
50.848724,224,49.528679,219
50.848724,225,49.528679,220
50.877018,225,49.575874,220
50.877018,226,49.575874,221
50.999615,226,49.575874,221
50.999615,227,49.575874,222
51.009045,227,49.67971,222
51.009045,228,49.67971,223
51.06562,228,49.698593,223
51.06562,229,49.698593,224
51.150467,229,49.736359,224
51.150467,230,49.736359,225
51.188175,230,49.84967,225
51.188175,231,49.84967,226
51.254158,231,50.057465,226
51.254158,232,50.057465,227
51.499165,232,50.085804,227
51.499165,233,50.085804,228
51.536846,233,50.652924,228
51.536846,234,50.652924,229
51.744064,234,50.700211,229
51.744064,235,50.700211,230
51.913551,235,50.851547,230
51.913551,236,50.851547,231
52.026512,236,50.898849,231
52.026512,237,50.898849,232
52.064163,237,50.898849,232
52.064163,238,50.898849,233
52.10181,238,50.927235,233
52.10181,239,50.927235,234
52.224144,239,50.96508,234
52.224144,240,50.96508,235
52.26178,240,51.088093,235
52.26178,241,51.088093,236
52.26178,241,51.12595,236
52.26178,242,51.12595,237
52.31823,242,51.381546,237
52.31823,243,51.381546,238
52.468735,243,51.400486,238
52.468735,244,51.400486,239
52.496952,244,51.457302,239
52.496952,245,51.457302,240
52.609798,245,51.457302,240
52.609798,246,51.457302,241
52.69442,246,51.561478,241
52.69442,247,51.561478,242
52.741425,247,51.76989,242
52.741425,248,51.76989,243
52.920013,248,52.120567,243
52.920013,249,52.120567,244
52.976398,249,52.196419,244
52.976398,250,52.196419,245
53.248844,250,52.518894,245
53.248844,251,52.518894,246
53.446053,251,52.594795,246
53.446053,252,52.594795,247
53.812115,252,52.65173,247
53.812115,253,52.65173,248
53.905937,253,52.936481,248
53.905937,254,52.936481,249
53.999744,254,52.955471,249
53.999744,255,52.955471,250
54.477928,255,53.135891,250
54.477928,256,53.135891,251
54.487297,256,53.297367,251
54.487297,257,53.297367,252
54.515415,257,53.563423,252
54.515415,258,53.563423,253
54.72155,258,53.706005,253
54.72155,259,53.706005,254
55.217842,259,53.934208,254
55.217842,260,53.934208,255
55.264641,260,53.981762,255
55.264641,261,53.981762,256
55.330151,261,54.152985,256
55.330151,262,54.152985,257
55.339508,262,54.210072,257
55.339508,263,54.210072,258
55.358227,263,54.229103,258
55.358227,264,54.229103,259
55.40501,264,54.27668,259
55.40501,265,54.27668,260
55.451794,265,54.286194,260
55.451794,266,54.286194,261
55.479858,266,54.286194,261
55.479858,267,54.286194,262
55.517281,267,54.428955,262
55.517281,268,54.428955,263
55.517281,268,54.514626,263
55.517281,269,54.514626,264
55.535992,269,54.552704,264
55.535992,270,54.552704,265
55.582764,270,54.628872,265
55.582764,271,54.628872,266
55.713699,271,54.69553,266
55.713699,272,54.69553,267
55.723053,272,54.714573,267
55.723053,273,54.714573,268
55.751106,273,54.752666,268
55.751106,274,54.752666,269
55.816559,274,54.952698,269
55.816559,275,54.952698,270
55.835258,275,54.981277,270
55.835258,276,54.981277,271
55.853958,276,55.200451,271
55.853958,277,55.200451,272
55.956791,277,55.238575,272
55.956791,278,55.238575,273
55.956791,278,55.372032,273
55.956791,279,55.372032,274
55.966141,279,55.58181,274
55.966141,280,55.58181,275
56.068954,280,55.686729,275
56.068954,281,55.686729,276
56.096989,281,55.724884,276
56.096989,282,55.724884,277
56.190437,282,55.743965,277
56.190437,283,55.743965,278
56.423981,283,55.820286,278
56.423981,284,55.820286,279
56.573402,284,55.839371,279
56.573402,285,55.839371,280
56.629421,285,55.887077,280
56.629421,286,55.887077,281
56.900116,286,55.887077,281
56.900116,287,55.887077,282
57.068066,287,55.963417,282
57.068066,288,55.963417,283
