repneed,repseats,demneed,demseats
40,115,40,109
40.127686,115,40.218693,109
40.127686,116,40.218693,110
40.290932,116,40.255833,110
40.290932,117,40.255833,111
40.377338,117,40.413704,111
40.377338,118,40.413704,112
40.502129,118,40.469433,112
40.502129,119,40.469433,113
40.511726,119,40.48801,113
40.511726,120,40.48801,114
40.511726,120,40.497299,114
40.511726,121,40.497299,115
40.598099,121,40.58091,115
40.598099,122,40.58091,116
40.646084,122,40.58091,116
40.646084,123,40.58091,117
40.713249,123,40.868988,117
40.713249,124,40.868988,118
40.943478,124,41.082821,118
40.943478,125,41.082821,119
41.058559,125,41.138618,119
41.058559,126,41.138618,120
41.298237,126,41.147919,120
41.298237,127,41.147919,121
41.365334,127,41.18512,121
41.365334,128,41.18512,122
41.384502,128,41.19442,122
41.384502,129,41.19442,123
41.556988,129,41.306038,123
41.556988,130,41.306038,124
41.68153,130,41.417679,124
41.68153,131,41.417679,125
41.748581,131,41.426987,125
41.748581,132,41.426987,126
41.758156,132,41.650337,126
41.758156,133,41.650337,127
41.758156,133,41.678265,127
41.758156,134,41.678265,128
41.815624,134,41.836533,128
41.815624,135,41.836533,129
41.863506,135,42.078678,129
41.863506,136,42.078678,130
41.997559,136,42.153206,130
41.997559,137,42.153206,131
42.016705,137,42.153206,131
42.016705,138,42.153206,132
42.016705,138,42.199791,132
42.016705,139,42.199791,133
42.074146,139,42.395485,133
42.074146,140,42.395485,134
42.102863,140,42.591251,134
42.102863,141,42.591251,135
42.217724,141,42.749779,135
42.217724,142,42.749779,136
42.275143,142,42.964325,136
42.275143,143,42.964325,137
42.466507,143,43.020306,137
42.466507,144,43.020306,138
42.504772,144,43.076294,138
42.504772,145,43.076294,139
42.562164,145,43.085625,139
42.562164,146,43.085625,140
42.810802,146,43.169617,140
42.810802,147,43.169617,141
42.820366,147,43.169617,141
42.820366,148,43.169617,142
42.887287,148,43.346977,142
42.887287,149,43.346977,143
43.049782,149,43.374985,143
43.049782,150,43.374985,144
43.059341,150,43.374985,144
43.059341,151,43.374985,145
43.193123,151,43.53373,145
43.193123,152,43.53373,146
43.202679,152,43.580429,146
43.202679,153,43.580429,147
43.365086,153,43.813976,147
43.365086,154,43.813976,148
43.374638,154,43.916767,148
43.374638,155,43.916767,149
43.441498,155,44.000885,149
43.441498,156,44.000885,150
43.441498,156,44.019577,150
43.441498,157,44.019577,151
43.546551,157,44.028927,151
43.546551,158,44.028927,152
43.594296,158,44.038273,152
43.594296,159,44.038273,153
43.613392,159,44.11306,153
43.613392,160,44.11306,154
43.727959,160,44.5994,154
43.727959,161,44.5994,155
43.871136,161,44.889534,155
43.871136,162,44.889534,156
43.966568,162,44.889534,156
43.966568,163,44.889534,157
43.995197,163,45.104889,157
43.995197,164,45.104889,158
44.004738,164,45.132984,158
44.004738,165,45.132984,159
44.071529,165,45.142349,159
44.071529,166,45.142349,160
44.290924,166,45.320324,160
44.290924,167,45.320324,161
44.338608,167,45.414017,161
44.338608,168,45.414017,162
44.357681,168,45.47961,162
44.357681,169,45.47961,163
44.367218,169,45.563957,163
44.367218,170,45.563957,164
44.548374,170,45.648319,164
44.548374,171,45.648319,165
44.777126,171,45.667065,165
44.777126,172,45.667065,166
44.824772,172,45.90147,166
44.824772,173,45.90147,167
45.015316,173,45.967121,167
45.015316,174,45.967121,168
45.243885,174,45.995258,168
45.243885,175,45.995258,169
45.262928,175,46.098442,169
45.262928,176,46.098442,170
45.434292,176,46.323639,170
45.434292,177,46.323639,171
45.472366,177,46.50198,171
45.472366,178,46.50198,172
45.53899,178,46.736725,172
45.53899,179,46.736725,173
45.70076,179,46.783688,173
45.70076,180,46.783688,174
45.852974,180,46.858829,174
45.852974,181,46.858829,175
45.995636,181,46.9058,175
45.995636,182,46.9058,176
46.204815,182,46.952778,176
46.204815,183,46.952778,177
46.24284,183,47.103119,177
46.24284,184,47.103119,178
46.290367,184,47.103119,178
46.290367,185,47.103119,179
46.584949,185,47.215904,179
46.584949,186,47.215904,180
46.69894,186,47.262905,180
46.69894,187,47.262905,181
46.708439,187,47.432133,181
46.708439,188,47.432133,182
46.755928,188,48.062485,182
46.755928,189,48.062485,183
46.869888,189,48.21312,183
46.869888,190,48.21312,184
46.926861,190,48.250786,184
46.926861,191,48.250786,185
46.936356,191,48.297871,185
46.936356,192,48.297871,186
46.964836,192,48.467403,186
46.964836,193,48.467403,187
46.99332,193,48.571033,187
46.99332,194,48.571033,188
47.202145,194,48.731224,188
47.202145,195,48.731224,189
47.249592,195,48.750072,189
47.249592,196,48.750072,190
47.51524,196,48.750072,190
47.51524,197,48.750072,191
47.581631,197,48.778347,191
47.581631,198,48.778347,192
47.600601,198,48.844326,192
47.600601,199,48.844326,193
47.666985,199,48.938595,193
47.666985,200,48.938595,194
47.799728,200,48.976307,194
47.799728,201,48.976307,195
47.799728,201,49.098888,195
47.799728,202,49.098888,196
47.809208,202,49.146042,196
47.809208,203,49.146042,197
47.875568,203,49.344128,197
47.875568,204,49.344128,198
47.951397,204,49.353561,198
47.951397,205,49.353561,199
47.960876,205,49.44791,199
47.960876,206,49.44791,200
48.121979,206,49.476219,200
48.121979,207,49.476219,201
48.159882,207,49.495094,201
48.159882,208,49.495094,202
48.2262,208,49.542278,202
48.2262,209,49.542278,203
48.245148,209,49.65554,203
48.245148,210,49.65554,204
48.264091,210,49.797146,204
48.264091,211,49.797146,205
48.311455,211,50.004902,205
48.311455,212,50.004902,206
48.368286,212,50.052128,206
48.368286,213,50.052128,207
48.510342,213,50.061573,207
48.510342,214,50.061573,208
48.567154,214,50.089912,208
48.567154,215,50.089912,209
48.765953,215,50.15604,209
48.765953,216,50.15604,210
48.907909,216,50.212727,210
48.907909,217,50.212727,211
49.068752,217,50.222176,211
49.068752,218,50.222176,212
49.09713,218,50.477341,212
49.09713,219,50.477341,213
49.210636,219,50.534061,213
49.210636,220,50.534061,214
49.29575,220,50.70425,214
49.29575,221,50.70425,215
49.465939,221,50.789364,215
49.465939,222,50.789364,216
49.522659,222,50.90287,216
49.522659,223,50.90287,217
49.777824,223,50.931248,217
49.777824,224,50.931248,218
49.787273,224,51.092091,218
49.787273,225,51.092091,219
49.84396,225,51.234047,219
49.84396,226,51.234047,220
49.910088,226,51.432846,220
49.910088,227,51.432846,221
49.938427,227,51.489658,221
49.938427,228,51.489658,222
49.947872,228,51.631714,222
49.947872,229,51.631714,223
49.995098,229,51.688545,223
49.995098,230,51.688545,224
50.202854,230,51.735909,224
50.202854,231,51.735909,225
50.34446,231,51.754852,225
50.34446,232,51.754852,226
50.457722,232,51.7738,226
50.457722,233,51.7738,227
50.504906,233,51.840118,227
50.504906,234,51.840118,228
50.523781,234,51.878021,228
50.523781,235,51.878021,229
50.55209,235,52.039124,229
50.55209,236,52.039124,230
50.646439,236,52.048603,230
50.646439,237,52.048603,231
50.655872,237,52.124432,231
50.655872,238,52.124432,232
50.853958,238,52.190792,232
50.853958,239,52.190792,233
50.901112,239,52.200272,233
50.901112,240,52.200272,234
51.023693,240,52.200272,234
51.023693,241,52.200272,235
51.061405,241,52.333015,235
51.061405,242,52.333015,236
51.155674,242,52.399399,236
51.155674,243,52.399399,237
51.221653,243,52.418369,237
51.221653,244,52.418369,238
51.249928,244,52.48476,238
51.249928,245,52.48476,239
51.249928,245,52.750408,239
51.249928,246,52.750408,240
51.268776,246,52.797855,240
51.268776,247,52.797855,241
51.428967,247,53.00668,241
51.428967,248,53.00668,242
51.532597,248,53.035164,242
51.532597,249,53.035164,243
51.702129,249,53.063644,243
51.702129,250,53.063644,244
51.749214,250,53.073139,244
51.749214,251,53.073139,245
51.78688,251,53.130112,245
51.78688,252,53.130112,246
51.937515,252,53.244072,246
51.937515,253,53.244072,247
52.567867,253,53.291561,247
52.567867,254,53.291561,248
52.737095,254,53.30106,248
52.737095,255,53.30106,249
52.784096,255,53.415051,249
52.784096,256,53.415051,250
52.896881,256,53.709633,250
52.896881,257,53.709633,251
52.896881,257,53.75716,251
52.896881,258,53.75716,252
