repneed,repseats,demneed,demseats
40,125,40,125
40.435772,125,40.098816,125
40.435772,126,40.098816,126
40.454281,126,40.110744,126
40.454281,127,40.110744,127
40.472816,127,40.127331,127
40.472816,128,40.127331,128
40.483803,128,40.245842,128
40.483803,129,40.245842,129
40.677879,129,40.289993,129
40.677879,130,40.289993,130
40.704834,130,40.501934,130
40.704834,131,40.501934,131
40.89492,131,40.772923,131
40.89492,132,40.772923,132
40.909695,132,40.792629,132
40.909695,133,40.792629,133
40.924709,133,40.809631,133
40.924709,134,40.809631,134
40.92868,134,40.81551,134
40.92868,135,40.81551,135
41.020821,135,40.819984,135
41.020821,136,40.819984,136
41.044575,136,40.958996,136
41.044575,137,40.958996,137
41.071148,137,41.004765,137
41.071148,138,41.004765,138
41.073463,138,41.008606,138
41.073463,139,41.008606,139
41.102325,139,41.101284,139
41.102325,140,41.101284,140
41.119308,140,41.110619,140
41.119308,141,41.110619,141
41.565525,141,41.230961,141
41.565525,142,41.230961,142
41.646694,142,41.552921,142
41.646694,143,41.552921,143
41.787113,143,41.629688,143
41.787113,144,41.629688,144
41.82452,144,41.662868,144
41.82452,145,41.662868,145
41.935379,145,41.764484,145
41.935379,146,41.764484,146
42.015594,146,41.899239,146
42.015594,147,41.899239,147
42.019642,147,41.989048,147
42.019642,148,41.989048,148
42.064137,148,42.17852,148
42.064137,149,42.17852,149
42.161453,149,42.42989,149
42.161453,150,42.42989,150
42.333538,150,42.494038,150
42.333538,151,42.494038,151
42.379688,151,42.564819,151
42.379688,152,42.564819,152
42.446983,152,42.569176,152
42.446983,153,42.569176,153
42.567245,153,42.572407,153
42.567245,154,42.572407,154
42.622536,154,42.601917,154
42.622536,155,42.601917,155
42.722477,155,42.658951,155
42.722477,156,42.658951,156
42.810013,156,42.934875,156
42.810013,157,42.934875,157
42.852711,157,43.127041,157
42.852711,158,43.127041,158
42.951893,158,43.240494,158
42.951893,159,43.240494,159
43.002827,159,43.355362,159
43.002827,160,43.355362,160
43.219723,160,43.438385,160
43.219723,161,43.438385,161
43.299736,161,43.594887,161
43.299736,162,43.594887,162
43.381683,162,43.775715,162
43.381683,163,43.775715,163
43.732929,163,44.358028,163
43.732929,164,44.358028,164
43.765034,164,44.647045,164
43.765034,165,44.647045,165
43.808956,165,44.667679,165
43.808956,166,44.667679,166
43.839401,166,44.893692,166
43.839401,167,44.893692,167
43.90934,167,45.015224,167
43.90934,168,45.015224,168
43.926102,168,45.243603,168
43.926102,169,45.243603,169
43.985897,169,45.277824,169
43.985897,170,45.277824,170
44.101757,170,45.320545,170
44.101757,171,45.320545,171
44.172878,171,45.371429,171
44.172878,172,45.371429,172
44.250099,172,45.490814,172
44.250099,173,45.490814,173
44.295399,173,45.662407,173
44.295399,174,45.662407,174
44.329952,174,46.100025,174
44.329952,175,46.100025,175
44.438957,175,46.146412,175
44.438957,176,46.146412,176
44.548122,176,46.352177,176
44.548122,177,46.352177,177
44.560425,177,46.445072,177
44.560425,178,46.445072,178
44.669479,178,46.487797,178
44.669479,179,46.487797,179
44.730396,179,46.57785,179
44.730396,180,46.57785,180
44.742863,180,46.708981,180
44.742863,181,46.708981,181
44.765068,181,47.131378,181
44.765068,182,47.131378,182
44.830894,182,47.23838,182
44.830894,183,47.23838,183
44.88237,183,47.486767,183
44.88237,184,47.486767,184
45.142044,184,47.529408,184
45.142044,185,47.529408,185
45.146664,185,47.594749,185
45.146664,186,47.594749,186
45.221096,186,47.737099,186
45.221096,187,47.737099,187
45.276588,187,47.740471,187
45.276588,188,47.740471,188
45.44503,188,47.794243,188
45.44503,189,47.794243,189
45.480358,189,48.085163,189
45.480358,190,48.085163,190
45.490646,190,48.160213,190
45.490646,191,48.160213,191
45.546349,191,48.22298,191
45.546349,192,48.22298,192
45.781033,192,48.549992,192
45.781033,193,48.549992,193
46.266724,193,48.721607,193
46.266724,194,48.721607,194
46.327229,194,48.830929,194
46.327229,195,48.830929,195
46.394157,195,48.910664,195
46.394157,196,48.910664,196
46.46389,196,49.065311,196
46.46389,197,49.065311,197
46.464539,197,49.102066,197
46.464539,198,49.102066,198
46.519737,198,49.192551,198
46.519737,199,49.192551,199
46.595978,199,49.439972,199
46.595978,200,49.439972,200
46.779106,200,49.467693,200
46.779106,201,49.467693,201
47.001762,201,49.521404,201
47.001762,202,49.521404,202
47.122215,202,49.85017,202
47.122215,203,49.85017,203
47.218937,203,49.907043,203
47.218937,204,49.907043,204
47.24194,204,50.148254,204
47.24194,205,50.148254,205
47.247505,205,50.169067,205
47.247505,206,50.169067,206
47.281517,206,50.265152,206
47.281517,207,50.265152,207
47.285557,207,50.372131,207
47.285557,208,50.372131,208
47.442299,208,50.450878,208
47.442299,209,50.450878,209
47.495125,209,50.594566,209
47.495125,210,50.594566,210
47.537975,210,50.877686,210
47.537975,211,50.877686,211
47.660244,211,51.011169,211
47.660244,212,51.011169,212
47.662376,212,51.065403,212
47.662376,213,51.065403,213
48.049839,213,51.084064,213
48.049839,214,51.084064,214
48.416824,214,51.107494,214
48.416824,215,51.107494,215
48.49025,215,51.127728,215
48.49025,216,51.127728,216
48.563702,216,51.184975,216
48.563702,217,51.184975,217
48.668652,217,51.331348,217
48.668652,218,51.331348,218
48.815025,218,51.436298,218
48.815025,219,51.436298,219
48.872272,219,51.50975,219
48.872272,220,51.50975,220
48.892506,220,51.583176,220
48.892506,221,51.583176,221
48.915936,221,51.950161,221
48.915936,222,51.950161,222
48.934597,222,52.337624,222
48.934597,223,52.337624,223
48.988831,223,52.339756,223
48.988831,224,52.339756,224
49.122314,224,52.462025,224
49.122314,225,52.462025,225
49.405434,225,52.504875,225
49.405434,226,52.504875,226
49.549122,226,52.557701,226
49.549122,227,52.557701,227
49.627869,227,52.714443,227
49.627869,228,52.714443,228
49.734848,228,52.718483,228
49.734848,229,52.718483,229
49.830933,229,52.752495,229
49.830933,230,52.752495,230
49.851746,230,52.75806,230
49.851746,231,52.75806,231
50.092957,231,52.781063,231
50.092957,232,52.781063,232
50.14983,232,52.877785,232
50.14983,233,52.877785,233
50.478596,233,52.998238,233
50.478596,234,52.998238,234
50.532307,234,53.220894,234
50.532307,235,53.220894,235
50.560028,235,53.404022,235
50.560028,236,53.404022,236
50.807449,236,53.480263,236
50.807449,237,53.480263,237
50.897934,237,53.535461,237
50.897934,238,53.535461,238
50.934689,238,53.53611,238
50.934689,239,53.53611,239
51.089336,239,53.605843,239
51.089336,240,53.605843,240
51.169071,240,53.672771,240
51.169071,241,53.672771,241
51.278393,241,53.733276,241
51.278393,242,53.733276,242
51.450008,242,54.218967,242
51.450008,243,54.218967,243
51.77702,243,54.453651,243
51.77702,244,54.453651,244
51.839787,244,54.509354,244
51.839787,245,54.509354,245
51.914837,245,54.519642,245
51.914837,246,54.519642,246
52.205757,246,54.55497,246
52.205757,247,54.55497,247
52.259529,247,54.723412,247
52.259529,248,54.723412,248
52.262901,248,54.778904,248
52.262901,249,54.778904,249
52.405251,249,54.853336,249
52.405251,250,54.853336,250
52.470592,250,54.857956,250
52.470592,251,54.857956,251
52.513233,251,55.11763,251
52.513233,252,55.11763,252
52.76162,252,55.169106,252
52.76162,253,55.169106,253
52.868622,253,55.234932,253
52.868622,254,55.234932,254
53.291019,254,55.257137,254
53.291019,255,55.257137,255
53.42215,255,55.269604,255
53.42215,256,55.269604,256
53.512203,256,55.330521,256
53.512203,257,55.330521,257
53.554928,257,55.439575,257
53.554928,258,55.439575,258
53.647823,258,55.451878,258
53.647823,259,55.451878,259
53.853588,259,55.561043,259
53.853588,260,55.561043,260
53.899975,260,55.670048,260
53.899975,261,55.670048,261
54.337593,261,55.704601,261
54.337593,262,55.704601,262
54.509186,262,55.749901,262
54.509186,263,55.749901,263
54.628571,263,55.827122,263
54.628571,264,55.827122,264
54.679455,264,55.898243,264
54.679455,265,55.898243,265
54.722176,265,56.014103,265
54.722176,266,56.014103,266
54.756397,266,56.073898,266
54.756397,267,56.073898,267
54.984776,267,56.09066,267
54.984776,268,56.09066,268
55.106308,268,56.160599,268
55.106308,269,56.160599,269
55.332321,269,56.191044,269
55.332321,270,56.191044,270
55.352955,270,56.234966,270
55.352955,271,56.234966,271
55.641972,271,56.267071,271
55.641972,272,56.267071,272
56.224285,272,56.618317,272
56.224285,273,56.618317,273
56.405113,273,56.700264,273
56.405113,274,56.700264,274
56.561615,274,56.780277,274
56.561615,275,56.780277,275
56.644638,275,56.997173,275
56.644638,276,56.997173,276
56.759506,276,57.048107,276
56.759506,277,57.048107,277
56.872959,277,57.147289,277
56.872959,278,57.147289,278
57.065125,278,57.189987,278
57.065125,279,57.189987,279
57.341049,279,57.277523,279
57.341049,280,57.277523,280
57.398083,280,57.377464,280
57.398083,281,57.377464,281
57.427593,281,57.432755,281
57.427593,282,57.432755,282
57.430824,282,57.553017,282
57.430824,283,57.553017,283
57.435181,283,57.620312,283
57.435181,284,57.620312,284
57.505962,284,57.666462,284
57.505962,285,57.666462,285
57.57011,285,57.838547,285
57.57011,286,57.838547,286
57.82148,286,57.935863,286
57.82148,287,57.935863,287
58.010952,287,57.980358,287
58.010952,288,57.980358,288
58.100761,288,57.984406,288
58.100761,289,57.984406,289
58.235516,289,58.064621,289
58.235516,290,58.064621,290
58.337132,290,58.17548,290
58.337132,291,58.17548,291
58.370312,291,58.212887,291
58.370312,292,58.212887,292
58.447079,292,58.353306,292
58.447079,293,58.353306,293
58.769039,293,58.434475,293
58.769039,294,58.434475,294
58.889381,294,58.880692,294
58.889381,295,58.880692,295
58.898716,295,58.897675,295
58.898716,296,58.897675,296
58.991394,296,58.926537,296
58.991394,297,58.926537,297
58.995235,297,58.928852,297
58.995235,298,58.928852,298
59.041004,298,58.955425,298
59.041004,299,58.955425,299
59.180016,299,58.979179,299
59.180016,300,58.979179,300
59.18449,300,59.07132,300
59.18449,301,59.07132,301
59.190369,301,59.075291,301
59.190369,302,59.075291,302
59.207371,302,59.090305,302
59.207371,303,59.090305,303
59.227077,303,59.10508,303
59.227077,304,59.10508,304
59.498066,304,59.295166,304
59.498066,305,59.295166,305
59.710007,305,59.322121,305
59.710007,306,59.322121,306
59.754158,306,59.516197,306
59.754158,307,59.516197,307
59.872669,307,59.527184,307
59.872669,308,59.527184,308
59.889256,308,59.545719,308
59.889256,309,59.545719,309
59.901184,309,59.564228,309
59.901184,310,59.564228,310
60,310,60,310
