repneed,repseats,demneed,demseats
0,0,0,0
17.19014,0,6.0422897,0
17.19014,1,6.0422897,1
18.611885,1,7.9357376,1
18.611885,2,7.9357376,2
19.957369,2,9.5544052,2
19.957369,3,9.5544052,3
20.278328,3,12.94313,3
20.278328,4,12.94313,4
20.794422,4,14.193291,4
20.794422,5,14.193291,5
21.137165,5,14.195702,5
21.137165,6,14.195702,6
22.843128,6,14.707741,6
22.843128,7,14.707741,7
22.887527,7,14.906464,7
22.887527,8,14.906464,8
23.044294,8,16.325638,8
23.044294,9,16.325638,9
24.208939,9,16.485641,9
24.208939,10,16.485641,10
24.683678,10,16.485641,10
24.683678,11,16.485641,11
24.800623,11,16.504944,11
24.800623,12,16.504944,12
25.438213,12,16.623688,12
25.438213,13,16.623688,13
25.960468,13,17.333855,13
25.960468,14,17.333855,14
26.305145,14,17.537445,14
26.305145,15,17.537445,15
26.628643,15,17.544594,15
26.628643,16,17.544594,16
27.831972,16,17.544594,16
27.831972,17,17.544594,17
27.842213,17,17.80986,17
27.842213,18,17.80986,18
27.971619,18,18.225975,18
27.971619,19,18.225975,19
28.09791,19,19.404236,19
28.09791,20,19.404236,20
28.158808,20,19.419006,20
28.158808,21,19.419006,21
28.432734,21,21.188637,21
28.432734,22,21.188637,22
28.489382,22,22.012764,22
28.489382,23,22.012764,23
29.602533,23,22.088776,23
29.602533,24,22.088776,24
29.602533,24,22.46376,24
29.602533,25,22.46376,25
29.63608,25,22.490021,25
29.63608,26,22.490021,26
29.664452,26,22.611076,26
29.664452,27,22.611076,27
29.75456,27,22.663597,27
29.75456,28,22.663597,28
29.875046,28,22.721832,28
29.875046,29,22.721832,29
29.886414,29,22.763382,29
29.886414,30,22.763382,30
30.0385,30,23.886833,30
30.0385,31,23.886833,31
30.146212,31,24.294472,31
30.146212,32,24.294472,32
30.195539,32,24.353058,32
30.195539,33,24.353058,33
30.403584,33,24.358345,33
30.403584,34,24.358345,34
30.519205,34,25.291458,34
30.519205,35,25.291458,35
30.591034,35,25.811081,35
30.591034,36,25.811081,36
30.610764,36,26.008316,36
30.610764,37,26.008316,37
30.619175,37,26.200729,37
30.619175,38,26.200729,38
30.861694,38,26.236275,38
30.861694,39,26.236275,39
31.109201,39,26.506279,39
31.109201,40,26.506279,40
31.219524,40,26.638268,40
31.219524,41,26.638268,41
31.272041,41,26.691185,41
31.272041,42,26.691185,42
31.404913,42,26.732414,42
31.404913,43,26.732414,43
31.463028,43,26.823982,43
31.463028,44,26.823982,44
31.560743,44,26.824005,44
31.560743,45,26.824005,45
31.576431,45,26.879532,45
31.576431,46,26.879532,46
31.772757,46,27.329948,46
31.772757,47,27.329948,47
31.962276,47,27.412697,47
31.962276,48,27.412697,48
31.990688,48,27.421181,48
31.990688,49,27.421181,49
32.067501,49,27.726166,49
32.067501,50,27.726166,50
32.090683,50,28.080536,50
32.090683,51,28.080536,51
32.096512,51,28.435043,51
32.096512,52,28.435043,52
32.470024,52,28.747208,52
32.470024,53,28.747208,53
32.494026,53,28.836205,53
32.494026,54,28.836205,54
32.81675,54,28.899826,54
32.81675,55,28.899826,55
32.824181,55,28.920975,55
32.824181,56,28.920975,56
32.924644,56,29.096863,56
32.924644,57,29.096863,57
32.971268,57,29.169029,57
32.971268,58,29.169029,58
33.057739,58,29.270699,58
33.057739,59,29.270699,59
33.157707,59,29.317108,59
33.157707,60,29.317108,60
33.199673,60,29.459259,60
33.199673,61,29.459259,61
33.25843,61,29.762169,61
33.25843,62,29.762169,62
33.494049,62,30.040359,62
33.494049,63,30.040359,63
33.635391,63,30.497787,63
33.635391,64,30.497787,64
33.769287,64,30.615852,64
33.769287,65,30.615852,65
33.89867,65,30.779884,65
33.89867,66,30.779884,66
34.028816,66,30.972351,66
34.028816,67,30.972351,67
34.226711,67,31.300995,67
34.226711,68,31.300995,68
34.348785,68,31.345917,68
34.348785,69,31.345917,69
34.494339,69,31.472282,69
34.494339,70,31.472282,70
34.530949,70,31.611046,70
34.530949,71,31.611046,71
34.534138,71,31.692741,71
34.534138,72,31.692741,72
34.914761,72,31.75325,72
34.914761,73,31.75325,73
34.990318,73,31.864914,73
34.990318,74,31.864914,74
35.237885,74,32.017929,74
35.237885,75,32.017929,75
35.262184,75,32.090263,75
35.262184,76,32.090263,76
35.29229,76,32.121323,76
35.29229,77,32.121323,77
35.32793,77,32.356964,77
35.32793,78,32.356964,78
35.499458,78,32.551735,78
35.499458,79,32.551735,79
35.509514,79,32.882347,79
35.509514,80,32.882347,80
35.687592,80,33.364494,80
35.687592,81,33.364494,81
35.809338,81,33.751793,81
35.809338,82,33.751793,82
35.822945,82,33.761475,82
35.822945,83,33.761475,83
35.845596,83,33.844215,83
35.845596,84,33.844215,84
36.067478,84,34.063049,84
36.067478,85,34.063049,85
36.078789,85,34.153214,85
36.078789,86,34.153214,86
36.236675,86,34.361542,86
36.236675,87,34.361542,87
36.326546,87,34.802444,87
36.326546,88,34.802444,88
36.492241,88,34.975662,88
36.492241,89,34.975662,89
36.762733,89,35.149361,89
36.762733,90,35.149361,90
36.794495,90,35.580124,90
36.794495,91,35.580124,91
36.873043,91,35.693695,91
36.873043,92,35.693695,92
36.976707,92,35.841423,92
36.976707,93,35.841423,93
37.2285,93,35.890022,93
37.2285,94,35.890022,94
37.273533,94,35.969002,94
37.273533,95,35.969002,95
37.380695,95,36.026688,95
37.380695,96,36.026688,96
37.420238,96,36.102207,96
37.420238,97,36.102207,97
37.430836,97,36.172218,97
37.430836,98,36.172218,98
37.503479,98,36.264877,98
37.503479,99,36.264877,99
37.516994,99,36.563267,99
37.516994,100,36.563267,100
37.725605,100,36.675037,100
37.725605,101,36.675037,101
37.919746,101,36.731689,101
37.919746,102,36.731689,102
38.038975,102,37.053429,102
38.038975,103,37.053429,103
38.045902,103,37.102787,103
38.045902,104,37.102787,104
38.261909,104,37.381748,104
38.261909,105,37.381748,105
38.282383,105,37.670238,105
38.282383,106,37.670238,106
38.319195,106,37.854195,106
38.319195,107,37.854195,107
38.328789,107,37.974884,107
38.328789,108,37.974884,108
38.329636,108,37.99799,108
38.329636,109,37.99799,109
38.440235,109,38.064575,109
38.440235,110,38.064575,110
38.446159,110,38.325275,110
38.446159,111,38.325275,111
38.534142,111,38.351963,111
38.534142,112,38.351963,112
38.554508,112,38.655373,112
38.554508,113,38.655373,113
38.594852,113,38.700684,113
38.594852,114,38.700684,114
38.659931,114,38.822563,114
38.659931,115,38.822563,115
38.726032,115,38.854885,115
38.726032,116,38.854885,116
38.857849,116,38.881866,116
38.857849,117,38.881866,117
38.931381,117,39.182858,117
38.931381,118,39.182858,118
39.339211,118,39.243908,118
39.339211,119,39.243908,119
39.384502,119,39.58704,119
39.384502,120,39.58704,120
39.672005,120,39.641178,120
39.672005,121,39.641178,121
39.682217,121,39.647572,121
39.682217,122,39.647572,122
39.688271,122,39.77903,122
39.688271,123,39.77903,123
39.819263,123,39.862141,123
39.819263,124,39.862141,124
39.920349,124,39.869003,124
39.920349,125,39.869003,125
40.440296,125,40.102161,125
40.440296,126,40.102161,126
40.458805,126,40.107864,126
40.458805,127,40.107864,127
40.477341,127,40.124447,127
40.477341,128,40.124447,128
40.488331,128,40.242943,128
40.488331,129,40.242943,129
40.6824,129,40.28709,129
40.6824,130,40.28709,130
40.709347,130,40.499008,130
40.709347,131,40.499008,131
40.899433,131,40.769962,131
40.899433,132,40.769962,132
40.9142,132,40.789665,132
40.9142,133,40.789665,133
40.929214,133,40.806667,133
40.929214,134,40.806667,134
40.933186,134,40.812542,134
40.933186,135,40.812542,135
41.02533,135,40.823277,135
41.02533,136,40.823277,136
41.04908,136,40.956013,136
41.04908,137,40.956013,137
41.075645,137,41.001778,137
41.075645,138,41.001778,138
41.077972,138,41.005619,138
41.077972,139,41.005619,139
41.106827,139,41.098286,139
41.106827,140,41.098286,140
41.123806,140,41.107616,140
41.123806,141,41.107616,141
41.570004,141,41.227947,141
41.570004,142,41.227947,142
41.651173,142,41.54987,142
41.651173,143,41.54987,143
41.79158,143,41.632927,143
41.79158,144,41.632927,144
41.828991,144,41.659805,144
41.828991,145,41.659805,145
41.939842,145,41.767712,145
41.939842,146,41.767712,146
42.020054,146,41.902458,146
42.020054,147,41.902458,147
42.024101,147,41.992264,147
42.024101,148,41.992264,148
42.068596,148,42.175396,148
42.068596,149,42.175396,149
42.165905,149,42.426739,149
42.165905,150,42.426739,150
42.337982,150,42.490879,150
42.337982,151,42.490879,151
42.384136,151,42.561649,151
42.384136,152,42.561649,152
42.451424,152,42.566006,152
42.451424,153,42.566006,153
42.565269,153,42.575577,153
42.565269,154,42.575577,154
42.626972,154,42.598747,154
42.626972,155,42.598747,155
42.726906,155,42.655773,155
42.726906,156,42.655773,156
42.754383,156,42.931667,156
42.754383,157,42.931667,157
42.857128,157,43.12381,157
42.857128,158,43.12381,158
42.956306,158,43.237251,158
