repneed,repseats,demneed,demseats
0,0,0,0
17.185736,0,6.0419312,0
17.185736,1,6.0419312,1
18.607246,1,7.9353714,1
18.607246,2,7.9353714,2
19.952541,2,9.5540771,2
19.952541,3,9.5540771,3
20.273453,3,12.93866,3
20.273453,4,12.93866,4
20.78948,4,14.193214,4
20.78948,5,14.193214,5
21.137577,5,14.195625,5
21.137577,6,14.195625,6
22.837942,6,14.702942,6
22.837942,7,14.702942,7
22.88233,7,14.906448,7
22.88233,8,14.906448,8
23.039078,8,16.320572,8
23.039078,9,16.320572,9
24.203604,9,16.48056,9
24.203604,10,16.48056,10
24.678303,10,16.48056,10
24.678303,11,16.48056,11
24.795235,11,16.505074,11
24.795235,12,16.505074,12
25.432772,12,16.623825,12
25.432772,13,16.623825,13
25.954987,13,17.328659,13
25.954987,14,17.328659,14
26.299637,14,17.537674,14
26.299637,15,17.537674,15
26.623112,15,17.53936,15
26.623112,16,17.53936,16
27.826363,16,17.53936,16
27.826363,17,17.53936,17
27.836597,17,17.81012,17
27.836597,18,17.81012,18
27.971226,18,18.220665,18
27.971226,19,18.220665,19
28.092278,19,19.404663,19
28.092278,20,19.404663,20
28.153175,20,19.413559,20
28.153175,21,19.413559,21
28.427088,21,21.189278,21
28.427088,22,21.189278,22
28.48373,22,22.007095,22
28.48373,23,22.007095,23
29.596828,23,22.089539,23
29.596828,24,22.089539,24
29.596828,24,22.458076,24
29.596828,25,22.458076,25
29.630369,25,22.490837,25
29.630369,26,22.490837,26
29.633968,26,22.611908,26
29.633968,27,22.611908,27
29.748852,27,22.657898,27
29.748852,28,22.657898,28
29.869329,28,22.722687,28
29.869329,29,22.722687,29
29.880697,29,22.757668,29
29.880697,30,22.757668,30
30.032778,30,23.88784,30
30.032778,31,23.88784,31
30.140484,31,24.295532,31
30.140484,32,24.295532,32
30.189812,32,24.354134,32
30.189812,33,24.354134,33
30.39785,33,24.359413,33
30.39785,34,24.359413,34
30.513466,34,25.292671,34
30.513466,35,25.292671,35
30.585295,35,25.81237,35
30.585295,36,25.81237,36
30.605019,36,26.025864,36
30.605019,37,26.025864,37
30.613428,37,26.202072,37
30.613428,38,26.202072,38
30.855942,38,26.237617,38
30.855942,39,26.237617,39
31.107605,39,26.50766,39
31.107605,40,26.50766,40
31.21376,40,26.632416,40
31.21376,41,26.632416,41
31.266272,41,26.692596,41
31.266272,42,26.692596,42
31.399143,42,26.733833,42
31.399143,43,26.733833,43
31.457256,43,26.825417,43
31.457256,44,26.825417,44
31.513596,44,26.825439,44
31.513596,45,26.825439,45
31.554968,45,26.873688,45
31.554968,46,26.873688,46
31.766981,46,27.331459,46
31.766981,47,27.331459,47
31.959099,47,27.414215,47
31.959099,48,27.414215,48
31.984907,48,27.422699,48
31.984907,49,27.422699,49
32.061714,49,27.72773,49
32.061714,50,27.72773,50
32.0849,50,28.088615,50
32.0849,51,28.088615,51
32.090725,51,28.436722,51
32.090725,52,28.436722,52
32.46423,52,28.741348,52
32.46423,53,28.741348,53
32.488232,53,28.837944,53
32.488232,54,28.837944,54
32.810951,54,28.901573,54
32.810951,55,28.901573,55
32.818382,55,28.922722,55
32.818382,56,28.922722,56
32.918854,56,29.098633,56
32.918854,57,29.098633,57
32.965469,57,29.170815,57
32.965469,58,29.170815,58
33.062954,58,29.272499,58
33.062954,59,29.272499,59
33.151905,59,29.311249,59
33.151905,60,29.311249,60
33.193874,60,29.4534,60
33.193874,61,29.4534,61
33.252632,61,29.764053,61
33.252632,62,29.764053,62
33.495476,62,30.042282,62
33.495476,63,30.042282,63
33.629585,63,30.491951,63
33.629585,64,30.491951,64
33.763767,64,30.617867,64
33.763767,65,30.617867,65
33.892864,65,30.774048,65
33.892864,66,30.774048,66
34.023006,66,30.974419,66
34.023006,67,30.974419,67
34.220898,67,31.303116,67
34.220898,68,31.303116,68
